imagen,xmin,ymin,xmax,ymax,categoría,deteccion1,nivel1,deteccion2,nivel2,deteccion3,nivel3,deteccion4,nivel4,deteccion5,nivel5
00068ee5e4632cf05be16306f00aa51b.jpg,327,424,660,881,Diptera,Diptera,0.6096670031547546,Diptera,0.5244152545928955,Diptera,0.4527634084224701,Diptera,0.47605741024017334,Diptera,0.3990113437175751
0065808ec8a40acb4dbaf1a855045a1b.jpg,766,138,993,462,Bee,no_detection,0.0,Bee,0.5120954513549805,Hoverfly,0.31491681933403015,no_detection,0.0,Bee,0.8281285762786865
00720ef5141a225e95a973c785e5292b.jpg,338,291,978,827,Bee,Wasp,0.4052331745624542,Wasp,0.6125622391700745,no_detection,0.0,Wasp,0.719719409942627,Wasp,0.3858630657196045
00ad5ae0ef6fe82cad95e54e8f478857.jpg,226,162,1054,706,Wasp,Wasp,0.8388413786888123,Wasp,0.712326169013977,Wasp,0.6313365697860718,Wasp,0.6588929891586304,Wasp,0.5208730101585388
01204afe7194a9a98cd57bb629877716.jpg,554,312,1095,649,Bee,Bee,0.3379661440849304,Bee,0.6953437328338623,Wasp,0.5534239411354065,Bee,0.7539213299751282,Bee,0.6425371170043945
013461eac6df1374f282d1678c79e26b.jpg,611,184,1178,472,Bee,no_detection,0.0,Bee,0.6855757832527161,Bee,0.5314075350761414,no_detection,0.0,no_detection,0.0
027f39558776c5ae38f2fb7f3e552eb7.jpg,541,325,1111,962,Bee,Bee,0.7512096762657166,Bee,0.7340916395187378,Bee,0.7856535911560059,Bee,0.7201889157295227,no_detection,0.0
02d56963d2a4e726e275a8762774a0c0.jpg,421,207,1043,962,Bee,no_detection,0.0,Wasp,0.4051823318004608,Bee,0.7615581750869751,Wasp,0.5478545427322388,no_detection,0.0
058d6d6120112fa571d3d2f4701d4247.jpg,246,85,558,344,Bee,Bee,0.32777389883995056,Bee,0.5937720537185669,Bee,0.7743424773216248,Bee,0.6294300556182861,Bee,0.6295692920684814
059b4e98acba4301d57a929e35c8fc27.jpg,212,109,1125,962,Bee,Wasp,0.4091396629810333,Bee,0.5327845811843872,no_detection,0.0,Bee,0.3608744442462921,no_detection,0.0
05a18780e02c827e037fbe2890e1a1d2.jpg,462,321,830,711,Coleoptera,no_detection,0.0,no_detection,0.0,no_detection,0.0,Coleoptera,0.46175333857536316,no_detection,0.0
